aircraft_type,name,engine_manufacturer,engine_model
B06,206B-3 JetRanger III,Allison,250-C20J
C206,206H Stationair,Lycoming,IO-540-AC1A5
B06,206L LongRanger,Allison,250-C20B
B06,206L-1 LongRanger II,Allison,250-C28
B06,206L-3 Long Ranger III,Allison,250-C30P
B06,206L-3 LongRanger III,Allison,250-C30P
B06,206L-4 LongRanger IV,Allison,250-C30P
C207,207 Skywagon,Continental,IO-520-F
C207,207A Skywagon,Continental,IO-520-F
C208,208 Caravan,Pratt & Whitney Canada,PT-6A-114
C208,208B Grand Caravan,Pratt & Whitney Canada,PT-6A-114
C208,208B Grand Caravan EX,Pratt & Whitney Canada,PT-6A-140
UH1,210,Lycoming,T53-17B
C210,210 Centurion,Continental,IO-470-E
C210,210A Centurion,Continental,IO-470-E
C210,210B Centurion,Continental,IO-470-S
C210,210C Centurion,Continental,IO-470-S
C210,210D Centurion,Continental,IO-520-A
C210,210E Centurion,Continental,IO-520-A
C210,210F Centurion,Continental,TSIO-520-C
C210,210G Centurion,Continental,TSIO-520-C
C210,210H Centurion,Continental,TSIO-520-C
C210,210J Centurion,Continental,IO-520-J
C210,210K Centurion,Continental,IO-520-L
C210,210L Centurion,Continental,IO-520-L
C210,210M Centurion,Continental,IO-520-L;TSIO-520-R
C210,210N Centurion,Continental,IO-520-L;TSIO-520-R
C210,210R Centurion,Continental,IO-520-L;TSIO-520-R
B212,212,Pratt & Whitney Canada,PT6T-3;PT6T-3B
B214,214B BigLifter,Lycoming,LTC4B-8D
B214,214B-1 BigLifter,Lycoming,LTC4B-8D
B214,214ST,General Electric,CT7-2A
B222,222,Lycoming,LTS101-650C-3
B222,222A,Lycoming,LTS101-650C-3
B222,222B,Lycoming,LTS101-750C
B222,222SP,Allison,250-C30G
B222,222U,Lycoming,LTS101-750C
B222,222UT,Lycoming,LTS101-750C
BE23,23 Musketeer,Continental;Lycoming,O-320;IO-346;O-360
B230,230,Rolls Royce,250-C30G
H47,234,Lycoming,T55-L-7C
H47,234LR,Lycoming,T55-L-7C
RALL,235C Gabier,Lycoming,O-540
RALL,235CA Gaucho,Lycoming,O-540
RALL,235E Gabier,Lycoming,O-540
RALL,235F Gabier,Lycoming,O-540
LJ24,24,General Electric,CJ610-4
LJ24,24A,General Electric,CJ610-4
LJ24,24B,General Electric,CJ610-6
LJ24,24D,General Electric,CJ610-6
LJ24,24E,General Electric,CJ610-8A
LJ24,24F,General Electric,CJ610-8A
LJ24,24XR,General Electric,CJ610-6
LJ25,25,General Electric,CJ610-6
LJ25,25B,General Electric,CJ610-6
LJ25,25C,General Electric,CJ610-6
LJ25,25D,General Electric,CJ610-6
LJ25,25G,General Electric,CJ610-6
LJ25,25XR,General Electric,CJ610-6
H269,269A,Lycoming,O-369-C2D;HO-360-B1B;HIO-360-B1A
H269,269A-1,Lycoming,HO-360-B1B;HIO-360-B1A
H269,269B,Lycoming,HIO-360-A1A
H269,269C,Lycoming,HIO-360-D1A
H269,269C-1,Lycoming,HIO-360-D1A
H269,269D,Lycoming,HIO-360-D1A
