identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,loc_heading,gs_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
IBC,GS 10,GS,TERMINAL,110300,,,,,,079.857,2.50,18,49.130488889,-68.211758333,70,CY,CYBC,10,CA
IBC,GS 19,GS,TERMINAL,109500,,,,,,184.585,3.00,18,58.435750000,12.714416667,190,ES,ESIB,19,SE
IBC,GS 27L,GS,TERMINAL,111100,,,,,,253.593,3.00,18,-23.433166667,-46.461500000,2430,SB,SBGR,27L,BR
IBC,GUARULHOS-GOV. ANDRE FRAN DME-ILS,DME-ILS,TERMINAL,111100,48X,1072000,1009000,0,,,,125,-23.433166667,-46.461500000,2430,SB,SBGR,,BR
IBC,ILS 10,ILS-I,TERMINAL,110300,,,,,,79.857,,18,49.134466667,-68.187361111,70,CY,CYBC,10,CA
IBC,ILS 19,ILS-I,TERMINAL,109500,,,,,,184.585,,18,58.415027778,12.709194444,190,ES,ESIB,19,SE
IBC,ILS 27L,ILS-I,TERMINAL,111100,,,,,,253.593,,18,-23.439666667,-46.490166667,2430,SB,SBGR,27L,BR
IBC,SATENAS DME-ILS,DME-ILS,TERMINAL,109500,32X,1056000,993000,0,,,,25,58.435722222,12.714361111,190,ES,ESIB,,SE
IBCB,ILS 12,LOC,TERMINAL,109100,,,,,,117.290,,18,37.204413889,-80.399986111,0,K6,KBCB,12,US
IBCB,VIRGINIA TECH DME-ILS,DME-ILS,TERMINAL,109100,28X,1052000,989000,0,,,,25,37.205158333,-80.399836111,2148,K6,KBCB,,US
IBCD,BACOLOD DME-ILS,DME-ILS,TERMINAL,109700,34X,1058000,995000,0,,,,25,10.770736111,123.016944444,129,RP,RPVB,,PH
IBCD,GS 03,GS,TERMINAL,109700,,,,,,029.801,3.00,18,10.770736111,123.016944444,129,RP,RPVB,03,PH
IBCD,ILS 03,ILS-I,TERMINAL,109700,,,,,,29.801,,18,10.790638889,123.027288889,129,RP,RPVB,03,PH
IBCU,BARNSTABLE MUN-BOARDMAN/P DME-ILS,DME-ILS,TERMINAL,108950,26Y,1050000,1113000,0,,,,150,41.662205556,-70.276458333,53,K6,KHYA,,US
IBCU,GS 15,GS,TERMINAL,108950,,,,,,139.891,3.10,18,41.673175000,-70.288469444,49,K6,KHYA,15,US
IBCU,ILS 15,ILS-I,TERMINAL,108950,,,,,,139.891,,18,41.661652778,-70.277102778,49,K6,KHYA,15,US
IBD,DOHA INTL DME-ILS,DME-ILS,TERMINAL,109500,32X,1056000,993000,0,,,,25,25.245061111,51.573466667,47,OT,OTBD,,QA
