identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,loc_heading,gs_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
1B,SABLE ISLAND NDB,NDB,ENROUTE,277,,,,,,,,50,43.930555556,-60.022777778,,CY,,,CA
1D,CHARLOTTETOWN NDB,NDB,ENROUTE,346,,,,,,,,25,52.775411111,-56.125961111,,CY,,,CA
1E,BLACK TICKLE NDB,NDB,ENROUTE,349,,,,,,,,50,53.467127778,-55.788663889,,CY,,,CA
1F,BATHURST NDB,NDB,ENROUTE,363,,,,,,,,50,47.630583333,-65.744591667,,CY,,,CA
1L,FORT MACKAY/FIREBAG NDB,NDB,TERMINAL,400,,,,,,,,25,57.280661111,-110.972233333,,CY,CYFI,,CA
2B,SPRINGDALE NDB,NDB,ENROUTE,364,,,,,,,,25,49.490000000,-56.184722222,,CY,,,CA
2H,LEBEL-SUR-QUEVILLON NDB,NDB,TERMINAL,261,,,,,,,,25,49.035855556,-77.020044444,,CY,CSH4,,CA
2K,CAMROSE NDB,NDB,ENROUTE,405,,,,,,,,25,53.032222222,-112.813333333,,CY,,,CA
2Q,MONT-LAURIER NDB,NDB,ENROUTE,373,,,,,,,,25,46.602508333,-75.470680556,,CY,,,CA
2Z,DIAVIK NDB,NDB,ENROUTE,382,,,,,,,,25,64.509583333,-110.309861111,,CY,,,CA
3H,CONSORT NDB,NDB,ENROUTE,276,,,,,,,,50,52.022777778,-110.745555556,,CY,,,CA
3M,DRAYTON VALLEY NDB,NDB,ENROUTE,385,,,,,,,,25,53.267430556,-114.957027778,,CY,,,CA
3R,POSTVILLE NDB,NDB,ENROUTE,366,,,,,,,,25,54.907475000,-59.795263889,,CY,,,CA
3Z,RUSSELL NDB,NDB,TERMINAL,263,,,,,,,,25,50.764166667,-101.296388889,,CY,CJW5,,CA
4A,KOALA NDB,NDB,ENROUTE,350,,,,,,,,50,64.698055556,-110.609166667,,CY,,,CA
4J,KNEE LAKE NDB,NDB,ENROUTE,314,,,,,,,,25,54.883333333,-94.800000000,,CY,,,CA
4O,SWAN HILLS NDB,NDB,ENROUTE,251,,,,,,,,50,54.675000000,-115.424444444,,CY,,,CA
4W,KELSEY NDB,NDB,ENROUTE,391,,,,,,,,50,56.037500000,-96.512777778,,CY,,,CA
5B,SUMMERSIDE NDB,NDB,ENROUTE,254,,,,,,,,25,46.396944444,-63.881666667,,CY,,,CA
5F,FOX CREEK DME,DME,ENROUTE,110000,37X,1061000,998000,0,,,,125,54.378611111,-116.751944444,2800,CY,,,CA
5F,FOX CREEK NDB,NDB,ENROUTE,353,,,,,,,,25,54.378611111,-116.751666667,,CY,,,CA
5J,CORONATION NDB,NDB,ENROUTE,328,,,,,,,,75,52.074444444,-111.448333333,,CY,,,CA
5Q,FONTANGES NDB,NDB,ENROUTE,239,,,,,,,,50,54.560127778,-71.171027778,,CY,,,CA
5W,LEAF RAPIDS NDB,NDB,ENROUTE,226,,,,,,,,50,56.511666667,-99.983888889,,CY,,,CA
6F,PORT HOPE SIMPSON NDB,NDB,ENROUTE,367,,,,,,,,25,52.520030556,-56.295702778,,CY,,,CA
6G,RED DEER DME,DME,ENROUTE,113800,85X,1109000,1172000,0,,,,125,52.181186111,-113.882658333,2974,CY,,,CA
6K,VERNON NDB,NDB,ENROUTE,302,,,,,,,,50,50.350000000,-119.260000000,,CY,,,CA
6P,MOBIL 1128 (RAINBOW LAKE) NDB,NDB,ENROUTE,291,,,,,,,,25,58.551944444,-118.918055556,,CY,,,CA
6T,FOREMOST NDB,NDB,ENROUTE,362,,,,,,,,25,49.484544444,-111.486119444,,CY,,,CA
7B,SAINT THOMAS NDB,NDB,ENROUTE,375,,,,,,,,50,42.771363889,-81.105208333,,CY,,,CA
7C,FOGO NDB,NDB,ENROUTE,237,,,,,,,,50,49.661666667,-54.245277778,,CY,,,CA
7H,MARYSTOWN (WINTERLAND) NDB,NDB,ENROUTE,234,,,,,,,,25,47.137197222,-55.324875000,,CY,,,CA
7N,NAHANNI BUTTE NDB,NDB,ENROUTE,208,,,,,,,,50,61.018611111,-123.385000000,,CY,,,CA
7P,IROQUOIS FALLS NDB,NDB,ENROUTE,382,,,,,,,,50,48.708333333,-80.736111111,,CY,,,CA
8C,FAIRVIEW NDB,NDB,ENROUTE,295,,,,,,,,50,56.075555556,-118.440555556,,CY,,,CA
8K,VALLEYVIEW NDB,NDB,ENROUTE,229,,,,,,,,25,55.034444444,-117.288611111,,CY,,,CA
8M,ELK POINT NDB,NDB,ENROUTE,414,,,,,,,,25,53.890277778,-110.768055556,,CY,,,CA
9A,HANNA NDB,NDB,ENROUTE,221,,,,,,,,25,51.627777778,-111.900833333,,CY,,,CA
9G,SUNDRE NDB,NDB,ENROUTE,405,,,,,,,,50,51.780000000,-114.683333333,,CY,,,CA
9H,LA GRANDE 3 NDB,NDB,ENROUTE,235,,,,,,,,50,53.573916667,-76.200472222,,CY,,,CA
9Q,AMOS NDB,NDB,ENROUTE,291,,,,,,,,25,48.557500000,-78.243055556,,CY,,,CA
9X,BROOKS NDB,NDB,ENROUTE,227,,,,,,,,25,50.632222222,-111.921666667,,CY,,,CA
9Y,PINCHER CREEK NDB,NDB,ENROUTE,311,,,,,,,,25,49.523333333,-113.998611111,,CY,,,CA
A,ABAKAN NDB,NDB,TERMINAL,733,,,,,,,,25,53.723416667,91.372222222,,UN,UNAA,,RU
A,AKTOBE NDB,NDB,TERMINAL,400,,,,,,,,15,50.262638889,57.179888889,,UA,UATT,,KZ
A,ALMATY NDB,NDB,TERMINAL,763,,,,,,,,15,43.368916667,77.073333333,,UA,UAAA,,KZ
A,ALMAZA NDB,NDB,TERMINAL,490,,,,,,,,25,30.074000000,31.359444444,,HE,HEAZ,,EG
A,ALYKEL (NORILSK) NDB,NDB,TERMINAL,260,,,,,,,,25,69.289555556,87.293500000,,UN,UOOO,,RU
A,ANDIZHAN NDB,NDB,TERMINAL,860,,,,,,,,15,40.711711111,72.271983333,,UT,UTFA,,UZ
A,BEGISHEVO NDB,NDB,TERMINAL,749,,,,,,,,25,55.550888889,52.066444444,,UW,UWKE,,RU
A,BELGOROD NDB,NDB,TERMINAL,350,,,,,,,,15,50.652166667,36.565166667,,UU,UUOB,,RU
A,CHERTOVITSKOYE (VORONEZH) NDB,NDB,TERMINAL,595,,,,,,,,25,51.803305556,39.251500000,,UU,UUOO,,RU
A,DAJIAOCHANG NDB,NDB,ENROUTE,511,,,,,,,,50,31.985000000,118.793333333,,ZS,,,CN
A,EZEIZA INTL MINISTRO PISTARINI NDB,NDB,TERMINAL,237,,,,,,,,25,-34.841638889,-58.522333333,,SA,SAEZ,,AR
A,KURUMOCH (SAMARA) NDB,NDB,TERMINAL,588,,,,,,,,15,53.484277778,50.188972222,,UW,UWWW,,RU
A,MIKHAYLOVKA (BARNAUL) NDB,NDB,TERMINAL,865,,,,,,,,25,53.371666667,83.573527778,,UN,UNBB,,RU
A,SHEREMETYEVO (MOSCOW) NDB,NDB,TERMINAL,338,,,,,,,,25,55.980583333,37.459000000,,UU,UUEE,,RU
A,SURGUT NDB,NDB,TERMINAL,668,,,,,,,,15,61.343944444,73.447055556,,US,USRR,,RU
A,SZOLNOK NDB,NDB,TERMINAL,422,,,,,,,,15,47.105416667,20.225666667,,LH,LHSN,,HU
A,TALAGI (ARKHANGELSK) NDB,NDB,TERMINAL,334,,,,,,,,25,64.602500000,40.672222222,,UL,ULAA,,RU
A,XINZHENG (ZHENGZHOU) NDB,NDB,TERMINAL,211,,,,,,,,25,34.510152778,113.868377778,,ZH,ZHCC,,CN
A,YUZHNY (IVANOVO) NDB,NDB,TERMINAL,670,,,,,,,,15,56.953222222,40.899638889,,UU,UUBI,,RU
A2,SIMONETTE NDB,NDB,ENROUTE,280,,,,,,,,50,54.423611111,-117.741111111,,CY,,,CA
A5,CHINCHAGA NDB,NDB,ENROUTE,317,,,,,,,,50,57.545000000,-119.111388889,,CY,,,CA
AA,ABEMAMA NDB,NDB,ENROUTE,396,,,,,,,,50,0.500000000,173.850000000,,NG,,,KI
AA,ANAA NDB,NDB,ENROUTE,332,,,,,,,,50,-17.356388889,-145.509111111,,NT,,,PF
AA,ATAMBUA NDB,NDB,ENROUTE,300,,,,,,,,15,-9.075000000,124.903333333,,WA,,,ID
AA,AUCKLAND VOR/DME,VOR-DME,ENROUTE,114800,95X,1119000,1182000,0,20.000,,,130,-37.004638889,174.813638889,29,NZ,,,NZ
AA,CEDAR (THOMSON) NDB,NDB,TERMINAL,341,,,,,,,,25,33.533277778,-82.614388889,,K7,KHQU,,US
AA,KENIE (FARGO) NDB,NDB,TERMINAL,365,,,,,,,,25,47.009052778,-96.815183333,,K3,KFAR,,US
AA,AASIAAT NDB,NDB,ENROUTE,336,,,,,,,,15,68.723147222,-52.784825000,,BG,,,GL
AAA,ABRAHAM (LINCOLN) NDB,NDB,ENROUTE,329,,,,,,,,25,40.160116667,-89.338016667,,K5,,,US
AAE,AHMEDABAD VOR/DME,VOR-DME,ENROUTE,113100,78X,1102000,1165000,0,0,,,130,23.068230556,72.629083333,218,VA,,,IN
AAF,APALACHICOLA NDB,NDB,ENROUTE,349,,,,,,,,25,29.723313889,-85.028063889,,K7,,,US
AAL,AALBORG VORTAC,VORTAC,ENROUTE,116700,114X,1138000,1201000,0,3.000,,,130,57.103719444,9.995577778,57,EK,,,DK
AAQ,ARARAQUARA NDB,NDB,ENROUTE,205,,,,,,,,50,-21.813011111,-48.139477778,,SB,,,BR
AAR,AARHUS DME-ILS,DME-ILS,TERMINAL,111900,56X,1080000,1017000,0,,,,25,56.303830556,10.601102778,79,EK,EKAH,,DK
AAR,AMRITSAR VOR/DME,VOR-DME,ENROUTE,115500,102X,1126000,1189000,0,2.000,,,130,31.728022222,74.785911111,788,VI,,,IN
AAR,ARAR VOR/DME,VOR-DME,ENROUTE,113300,80X,1104000,1167000,0,4.000,,,130,30.908027778,41.142166667,1900,OE,,,SA
AAR,GS 10R,GS,TERMINAL,111900,,,,,,100.326,2.75,18,56.303769444,10.601083333,81,EK,EKAH,10R,DK
AAR,ILS 10R,ILS-I,TERMINAL,111900,,,,,,100.326,,18,56.300452778,10.647502778,81,EK,EKAH,10R,DK
AAT,AGARTALA VOR/DME,VOR-DME,ENROUTE,116100,108X,1132000,1195000,0,0,,,130,23.890411111,91.238647222,87,VE,,,IN
AAT,AGATTI DME,DME,ENROUTE,115900,106X,1130000,1193000,0,,,,40,10.828250000,72.179388889,43,VO,,,IN
AAU,AURANGABAD VOR/DME,VOR-DME,ENROUTE,116300,110X,1134000,1197000,0,-1.000,,,130,19.861125000,75.405208333,1927,VA,,,IN
AB,ABAKAN NDB,NDB,TERMINAL,360,,,,,,,,25,53.701416667,91.355194444,,UN,UNAA,,RU
AB,ABECHE NDB,NDB,ENROUTE,350,,,,,,,,50,13.845277778,20.845555556,,FT,,,TD
AB,ADDIS ABEBA NDB,NDB,ENROUTE,333,,,,,,,,50,8.997372222,38.862583333,,HA,,,ET
AB,ALBI NDB,NDB,ENROUTE,323,,,,,,,,15,43.912555556,2.064500000,,LF,,,FR
AB,HAGFORS NDB,NDB,ENROUTE,393,,,,,,,,15,59.950416667,13.585833333,,ES,,,SE
AB,RENEY (ABERDEEN) NDB,NDB,TERMINAL,203,,,,,,,,25,45.386105556,-98.328511111,,K3,KABR,,US
AB,TOMHI (ABILENE) NDB,NDB,TERMINAL,353,,,,,,,,25,32.298863889,-99.674227778,,K4,KABI,,US
ABA,ALBANY DME-ILS,DME-ILS,TERMINAL,109700,34X,1058000,995000,0,,,,125,-34.949955556,117.809866667,243,YM,ENRT,,AU
ABA,ALBANY NDB,NDB,ENROUTE,240,,,,,,,,50,-34.952166667,117.810527778,,YM,,,AU
ABA,ARUBA VOR/DME,VOR-DME,ENROUTE,112500,72X,1096000,1159000,0,-10.400,,,150,12.505677778,-69.943100000,647,TN,,,AW
ABA,GS 36R,GS,TERMINAL,111950,,,,,,003.239,3.00,18,52.293725000,4.775855556,-11,EH,EHAM,36R,NL
ABA,ILS 36R,ILS-III,TERMINAL,111950,,,,,,3.239,,18,52.323502778,4.780372222,-11,EH,EHAM,36R,NL
ABA,SCHIPHOL DME-ILS,DME-ILS,TERMINAL,111950,56Y,1080000,1143000,0.200,,,,25,52.293733333,4.775025000,1,EH,EHAM,,NL
ABB,ABBEVILLE VOR/DME,VOR-DME,ENROUTE,108450,21Y,1045000,1108000,0,-1.000,,,130,50.135138889,1.854694444,220,LF,,,FR
ABC,ABUJA VOR/DME,VOR-DME,ENROUTE,116300,110X,1134000,1197000,0,-2.000,,,130,9.037805556,7.285111111,1191,DN,,,NG
ABD,ABADAN NDB,NDB,ENROUTE,210,,,,,,,,15,30.370472222,48.219916667,,OI,,,IR
ABD,ABADAN VOR/DME,VOR-DME,ENROUTE,115100,98X,1122000,1185000,0,4.000,,,130,30.375305556,48.220611111,8,OI,,,IR
ABD,ABYAD (DAMASCUS) NDB,NDB,ENROUTE,264,,,,,,,,50,33.335286111,36.428188889,,OS,,,SY
ABD,MALANG VOR/DME,VOR-DME,ENROUTE,116100,108X,1132000,1195000,0,1.000,,,130,-7.932763889,112.713111111,1715,WA,,,ID
ABG,AMBASSADOR (BIG SANDY) NDB,NDB,ENROUTE,404,,,,,,,,25,32.585494444,-95.113119444,,K4,,,US
ABH,ABHA VORTAC,VORTAC,ENROUTE,112900,76X,1100000,1163000,0,2.000,,,130,18.241916667,42.656944444,6900,OE,,,SA
ABI,ABILENE VORTAC,VORTAC,ENROUTE,113700,84X,1108000,1171000,0,10.000,,,130,32.481330556,-99.863452778,1809,K4,,,US
ABI,DJIBOUTI TACAN,TACAN,ENROUTE,114600,93X,1117000,1180000,0,2.000,,,130,11.549222222,43.154861111,40,HD,,,DJ
ABK,ABAKAN VOR/DME,VOR-DME,ENROUTE,113300,80X,1104000,1167000,0,4.000,,,130,53.744638889,91.385527778,787,UN,,,RU
ABL,AMBALEMA VOR/DME,VOR-DME,ENROUTE,112700,74X,1098000,1161000,0,-6.000,,,130,4.783819444,-74.767586111,984,SK,,,CO
ABM,ABUMUSA ISLAND DME,DME,ENROUTE,115400,101X,1125000,1188000,0,,,,130,25.877916667,55.023055556,32,OI,,,IR
ABM,ABUMUSA ISLAND NDB,NDB,ENROUTE,285,,,,,,,,50,25.878000000,55.022805556,,OI,,,IR
ABN,ALBENGA NDB,NDB,ENROUTE,420,,,,,,,,50,44.055972222,8.221000000,,LI,,,IT
ABQ,ALBUQUERQUE VORTAC,VORTAC,ENROUTE,113200,79X,1103000,1166000,0,13.000,,,130,35.043794444,-106.816311111,5749,K2,,,US
ABR,ABERDEEN VOR/DME,VOR-DME,ENROUTE,113000,77X,1101000,1164000,0,7.000,,,130,45.417355556,-98.368719444,1304,K3,,,US
ABU,ABU ARGUB VOR/DME,VOR-DME,ENROUTE,115100,98X,1122000,1185000,0,2.000,,,130,32.462833333,13.169508333,489,HL,,,LY
ABU,ALTENBURG NDB,NDB,ENROUTE,330,,,,,,,,25,50.993775000,12.521038889,,ED,,,DE
ABV,ALEXANDER BAY VOR/DME,VOR-DME,ENROUTE,112100,58X,1082000,1019000,0,-19.000,,,130,-28.570652778,16.533833333,98,FA,,,ZA
ABW,ASHGABAT DME-ILS,DME-ILS,TERMINAL,108500,22X,1046000,983000,0,,,,25,37.999861111,58.347000000,700,UT,UTAA,,TM
ABW,GS 12L,GS,TERMINAL,108500,,,,,,119.380,3.00,18,37.999861111,58.347000000,692,UT,UTAA,12L,TM
ABW,ILS 12L,ILS-II,TERMINAL,108500,,,,,,119.380,,18,37.980777778,58.386722222,692,UT,UTAA,12L,TM
ABY,ALBERT BRAY NDB,NDB,ENROUTE,321,,,,,,,,50,49.976250000,2.809416667,,LF,,,FR
AC,ANLOC NDB,NDB,ENROUTE,320,,,,,,,,50,10.939166667,107.188333333,,VV,,,VN
AC,GS 02,GS,TERMINAL,110300,,,,,,024.885,3.00,18,41.913722222,8.798083333,11,LF,LFKJ,02,FR
AC,ILS 02,ILS-I,TERMINAL,110300,,,,,,24.885,,18,41.932694444,8.807916667,11,LF,LFKJ,02,FR
AC,NAPOLEON BONAPARTE DME-ILS,DME-ILS,TERMINAL,110300,40X,1064000,1001000,0,,,,25,41.913722222,8.798083333,56,LF,LFKJ,,FR
AC,PLEASANT LAKE (YARMOUTH) NDB,NDB,ENROUTE,230,,,,,,,,25,43.860947222,-66.043705556,,CY,,,CA
ACA,ACAPULCO VOR/DME,VOR-DME,ENROUTE,115900,106X,1130000,1193000,0,5.000,,,150,16.758472222,-99.753963889,40,MM,,,MX
ACC,ACCRA VOR/DME,VOR-DME,ENROUTE,113100,78X,1102000,1165000,0,-4.000,,,130,5.634069444,-0.155363889,258,DG,,,GH
ACE,KACHEMAK (HOMER) NDB,NDB,ENROUTE,277,,,,,,,,50,59.641333333,-151.500275000,,PA,,,US
ACH,ANTON CHICO VORTAC,VORTAC,ENROUTE,117800,125X,1149000,1212000,0,12.000,,,130,35.111705556,-105.039927778,5450,K2,,,US
ACJ,SOUTHER (AMERICUS) NDB,NDB,ENROUTE,242,,,,,,,,25,32.112108333,-84.186852778,,K7,,,US
ACK,NANTUCKET VOR/DME,VOR-DME,ENROUTE,116200,109X,1133000,1196000,0,-15.000,,,150,41.281886111,-70.026711111,99,K6,,,US
ACO,AKRON VOR/DME,VOR-DME,ENROUTE,114400,91X,1115000,1178000,0,-4.000,,,40,41.107902778,-81.201525000,1198,K5,,,US
ACT,WACO VORTAC,VORTAC,ENROUTE,115300,100X,1124000,1187000,0,9.000,,,130,31.662230556,-97.269013889,507,K4,,,US
ACV,ARCATA VOR/DME,VOR-DME,ENROUTE,115050,97Y,1121000,1058000,0,17.000,,,130,40.981441667,-124.108316667,195,K2,,,US
ACY,ATLANTIC CITY VORTAC,VORTAC,ENROUTE,117150,118Y,1142000,1079000,0,-10.000,,,40,39.455875000,-74.576313889,67,K6,,,US
AD,ABIDJAN VOR/DME,VOR-DME,ENROUTE,114300,90X,1114000,1177000,0,-4.000,,,130,5.282816667,-3.916977778,46,DI,,,CI
AD,ADELAIDE VOR/DME,VOR-DME,ENROUTE,116400,111X,1135000,1198000,0,8.000,,,130,-34.946972222,138.524527778,33,YM,,,AU
AD,ADEN NDB,NDB,ENROUTE,361,,,,,,,,75,12.870277778,45.005555556,,OY,,,YE
AD,ANDA DME-ILS,DME-ILS,TERMINAL,108300,20X,1044000,981000,0,,,,25,61.829447222,6.111647222,228,EN,ENSD,,NO
AD,ANDA NDB,NDB,TERMINAL,288,,,,,,,,15,61.829566667,6.115938889,,EN,ENSD,,NO
AD,ILS 26,LOC,TERMINAL,108300,,,,,,253.303,,18,61.829633333,6.111897222,0,EN,ENSD,26,NO
AD,KRALJEVO NDB,NDB,TERMINAL,387,,,,,,,,15,43.754416667,20.664277778,,LY,LYKV,,RS
AD,RENGAT NDB,NDB,ENROUTE,280,,,,,,,,50,-0.349166667,102.335472222,,WI,,,ID
AD,SHEREMETYEVO (MOSCOW) NDB,NDB,TERMINAL,700,,,,,,,,25,55.986333333,37.500000000,,UU,UUEE,,RU
AD,SOCHI NDB,NDB,ENROUTE,365,,,,,,,,25,43.454777778,39.960777778,,UR,,,RU
ADA,ADANA VOR/DME,VOR-DME,ENROUTE,112700,74X,1098000,1161000,0,3.200,,,130,36.940583333,35.210388889,66,LT,,,TR
ADA,AL-MASSIRA DME-ILS,DME-ILS,TERMINAL,110300,40X,1064000,1001000,0,,,,25,30.321000000,-9.398527778,299,GM,GMAD,,MA
ADA,ALDEIA (SAO PEDRO DA-) NDB,NDB,ENROUTE,345,,,,,,,,50,-22.822930556,-42.096491667,,SB,,,BR
ADA,ALDEIA (SAO PEDRO DA) VOR/DME,VOR-DME,ENROUTE,112100,58X,1082000,1019000,0,-22.000,,,125,-22.812775000,-42.095338889,48,SB,,,BR
ADA,GS 27,GS,TERMINAL,110300,,,,,,271.599,3.00,18,30.321000000,-9.398527778,299,GM,GMAD,27,MA
ADA,ILS 27,ILS-II,TERMINAL,110300,,,,,,271.599,,18,30.323083333,-9.431250000,299,GM,GMAD,27,MA
ADG,ADRIAN NDB,NDB,ENROUTE,278,,,,,,,,25,41.869980556,-84.077480556,,K5,,,US
ADH,ADA VOR/DME,VOR-DME,ENROUTE,117800,125X,1149000,1212000,0,6.000,,,25,34.802555556,-96.670083333,987,K4,,,US
ADK,MOUNT MOFFETT DME,DME,ENROUTE,114000,87X,1111000,1174000,0,,,,130,51.871075000,-176.674275000,329,PA,,,US
ADK,MOUNT MOFFETT NDB,NDB,ENROUTE,530,,,,,,,,50,51.871877778,-176.675988889,,PA,,,US
ADL,SOCHI VOR/DME,VOR-DME,ENROUTE,112700,74X,1098000,1161000,0,7.000,,,130,43.454472222,39.962111111,98,UR,,,RU
ADM,AL-MASSIRA (AGADIR) VOR/DME,VOR-DME,ENROUTE,117200,119X,1143000,1206000,0,-3.000,,,130,30.321916667,-9.383472222,300,GM,,,MA
ADM,ARDMORE VORTAC,VORTAC,ENROUTE,116700,114X,1138000,1201000,0,6.000,,,130,34.211586111,-97.168227778,937,K4,,,US
ADN,ABERDEEN VOR/DME,VOR-DME,ENROUTE,114300,90X,1114000,1177000,0,-2.000,,,130,57.310450000,-2.267208333,600,EG,,,GB
ADN,ADANA NDB,NDB,ENROUTE,395,,,,,,,,15,36.970888889,35.261611111,,LT,,,TR
ADN,ROBERTO (MONTERRY) VOR/DME,VOR-DME,ENROUTE,115400,101X,1125000,1188000,0,5.000,,,150,25.865441667,-100.238794444,1493,MM,,,MX
ADO,PUERTO DESEADO NDB,NDB,ENROUTE,210,,,,,,,,50,-47.733333333,-65.909444444,,SA,,,AR
ADR,ADRAR VOR/DME,VOR-DME,ENROUTE,112600,73X,1097000,1160000,0,-1.000,,,130,27.820333333,-0.202758333,952,DA,,,DZ
ADS,ADDIS (ADDIS ABEBA) VOR/DME,VOR-DME,ENROUTE,112900,76X,1100000,1163000,0,2.000,,,130,8.975041667,38.799400000,7656,HA,,,ET
ADV,ABU DHABI VOR/DME,VOR-DME,ENROUTE,114250,89Y,1113000,1050000,0,2.000,,,130,24.418963889,54.673244444,109,OM,,,AE
ADV,ADVENT (SVALBARD) NDB,NDB,ENROUTE,326,,,,,,,,50,78.176808333,16.012508333,,EN,,,SJ
ADW,ANDREWS (CAMP SPRINGS) VORTAC,VORTAC,ENROUTE,113100,78X,1102000,1165000,0,-10.000,,,40,38.807219444,-76.866255556,263,K6,,,US
ADX,ANDRAITX NDB,NDB,ENROUTE,384,,,,,,,,25,39.549444444,2.395861111,,LE,,,ES
AE,AALBORG DME-ILS,DME-ILS,TERMINAL,109900,36X,1060000,997000,0,,,,25,57.094972222,9.837111111,19,EK,EKYT,,DK
AE,ABECHE VOR,VOR,ENROUTE,114500,,,,,2.000,,,130,13.846633333,20.863050000,0,FT,,,TD
AE,DUDLE (ALBUQUERQUE) NDB,NDB,TERMINAL,351,,,,,,,,25,35.217400000,-106.712800000,,K2,KAEG,,US
AE,GS 08L,GS,TERMINAL,109900,,,,,,083.263,2.75,18,57.095052778,9.837061111,7,EK,EKYT,08L,DK
AE,GS 13,GS,TERMINAL,109500,,,,,,124.119,3.00,18,-34.556197222,-58.423191667,66,SA,SABE,13,AR
AE,ILS 08L,ILS-I,TERMINAL,109900,,,,,,83.263,,18,57.096950000,9.883722222,7,EK,EKYT,08L,DK
AE,ILS 13,ILS-I,TERMINAL,109500,,,,,,124.119,,18,-34.565366667,-58.404688889,66,SA,SABE,13,AR
AE,JORGE NEWBERY AEROPARQUE DME-ILS,DME-ILS,TERMINAL,109500,32X,1056000,993000,0,,,,25,-34.556197222,-58.423191667,66,SA,SABE,,AR
AEA,ALGHERO VOR/DME,VOR-DME,ENROUTE,111650,53Y,1077000,1140000,0,2.000,,,40,40.638166667,8.291777778,102,LI,,,IT
AEL,ALBERT LEA VOR/DME,VOR-DME,ENROUTE,109800,35X,1059000,996000,0,1.000,,,25,43.681736111,-93.370755556,1252,K3,,,US
AES,NABESNA (NORTHWAY) NDB,NDB,ENROUTE,390,,,,,,,,50,62.949269444,-141.909780556,,PA,,,US
AEX,ALEXANDRIA VORTAC,VORTAC,ENROUTE,116100,108X,1132000,1195000,0,3.000,,,130,31.256727778,-92.500975000,80,K4,,,US
AFE,KAKE DME,DME,ENROUTE,114400,91X,1115000,1178000,0,,,,125,56.963916667,-133.911888889,170,PA,,,US
AFE,KAKE NDB,NDB,ENROUTE,223,,,,,,,,25,56.963916667,-133.911888889,,PA,,,US
AFI,AFFLIGEM VOR/DME,VOR-DME,ENROUTE,114900,96X,1120000,1183000,0,0,,,130,50.907777778,4.138888889,283,EB,,,BE
AFK,NEBRASKA CITY NDB,NDB,ENROUTE,347,,,,,,,,25,40.605361111,-95.860955556,,K3,,,US
AFO,AFIENOU NDB,NDB,ENROUTE,393,,,,,,,,50,5.408333333,-2.916666667,,DI,,,CI
AFS,AFONSOS (RIO DE JANEIRO) NDB,NDB,ENROUTE,270,,,,,,,,50,-22.867000000,-43.366833333,,SB,,,BR
AG,AGEN NDB,NDB,ENROUTE,400,,,,,,,,15,44.150694444,0.673722222,,LF,,,FR
AG,AGOY NDB,NDB,ENROUTE,381,,,,,,,,50,44.139444444,39.026666667,,UR,,,RU
AG,AGRA NDB,NDB,ENROUTE,249,,,,,,,,75,27.150194444,77.965305556,,VI,,,IN
AG,BUSHE (AUGUSTA) NDB,NDB,TERMINAL,233,,,,,,,,25,33.286886111,-81.946852778,,K7,KAGS,,US
AG,GS 23,GS,TERMINAL,110300,,,,,,232.731,3.00,18,36.710150000,3.249166667,131,DA,DAAG,23,DZ
AG,HOUARI BOUMEDIENE DME-ILS,DME-ILS,TERMINAL,110300,40X,1064000,1001000,0,,,,25,36.710150000,3.249166667,131,DA,DAAG,,DZ
AG,ILS 23,ILS-III,TERMINAL,110300,,,,,,232.731,,18,36.692211111,3.217516667,131,DA,DAAG,23,DZ
AG,SEMBAWANG (SINGAPORE) NDB,NDB,ENROUTE,325,,,,,,,,50,1.423333333,103.823333333,,WS,,,SG
AGB,AUGSBURG NDB,NDB,ENROUTE,318,,,,,,,,25,48.424297222,10.933094444,,ED,,,DE
AGC,ALLEGHENY (PITTSBURGH) VOR/DME,VOR-DME,ENROUTE,110000,37X,1061000,998000,0,-9.000,,,40,40.278644444,-80.040855556,1289,K6,,,US
AGD,ALTENBURG DME,DME,ENROUTE,115300,100X,1124000,1187000,0,,,,40,50.982688889,12.512283333,650,ED,,,DE
AGG,AGALEGA NDB,NDB,ENROUTE,429,,,,,,,,75,-10.366666667,56.600000000,,FI,,,MU
AGG,AGRA VOR/DME,VOR-DME,ENROUTE,112000,57X,1081000,1018000,0,0,,,130,27.157280556,77.956552778,570,VI,,,IN
AGH,ANCHIALOS VOR/DME,VOR-DME,ENROUTE,110400,41X,1065000,1002000,0,4.000,,,130,39.216222222,22.791925000,76,LG,,,GR
AGJ,GOOCH SPRINGS VORTAC,VORTAC,ENROUTE,112500,72X,1096000,1159000,0,5.000,,,130,31.185505556,-98.141858333,1191,K4,,,US
AGN,AGEN VOR/DME,VOR-DME,ENROUTE,114800,95X,1119000,1182000,0,0,,,130,43.888027778,0.872861111,896,LF,,,FR
AGO,AGOY DME,DME,ENROUTE,116800,115X,1139000,1202000,0,,,,130,44.138888889,39.025000000,131,UR,,,RU
AGO,ANGOULEME NDB,NDB,ENROUTE,404,,,,,,,,15,45.710722222,0.426888889,,LF,,,FR
AGP,MALAGA VOR/DME,VOR-DME,ENROUTE,117150,118Y,1142000,1079000,0,-1.000,,,40,36.684333333,-4.487333333,98,LE,,,ES
