icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,climb_rate,approach_speed,cruise_speed,maximum_speed,never_exceed_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,ferry_range,oew,auw,mlw,mrw,mtow,mzfw,type_certificate
B788,788,Boeing,787-8 Dreamliner,L2J,H,43100,,,140,488,516,,5.94,5.77,16.92,56.72,377.00,60.12,,,126206,7355,,119950,,172365,228383,227930,161100,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima115
B789,789,Boeing,787-9 Dreamliner,L2J,H,43100,,,140,488,516,,5.94,5.77,17.02,62.81,377.00,60.12,,,126372,7635,,128850,,192776,254692,254011,181436,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima115
B78X,78J,Boeing,787-10 Dreamliner,L2J,H,41100,,,,488,516,,5.94,5.77,17.02,68.28,377.00,60.12,,,126372,6430,,135500,,201848,254692,254011,192777,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima115
BA11,B11,BAC,111 One-Eleven,L2J,M,35000,,2750,,476,,,,,7.47,28.50,91.00,26.97,,,,720,,21007,,,,35600,,
BALL,,Generic,Balloon,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCAT,,Grumman,F8F Bearcat,L1P,L,40800,,4465,,,395,,,,4.22,8.61,22.70,10.92,,,,960,,3470,,,,6150,,
BCS1,CS1,Airbus,A220-100,L2J,M,41000,,,130,447,470,,,,11.50,35.00,112.30,35.10,,,21805,3400,,35220,,52390,61235,60781,50349,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima570
BCS3,CS3,Airbus,A220-300,L2J,M,41000,,,135,447,470,,,,11.50,38.70,112.30,35.10,,,21508,3550,,37080,,58740,68039,67585,55792,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima570
BE10,,Beechcraft,Model 100 King Air,L2T,L,24850,,2140,111,237,265,,,,4.70,12.17,26.00,14.00,,,,1325,,3212,,,,5352,,
BE17,,Beechcraft,Model 17 Staggerwing,L1P,L,25000,,1500,,176,184,,,,2.40,8.18,27.55,9.80,,,,582,,1152,1928,,,,,
BE18,,Beechcraft,Model 18 Twin Beech,L2P,L,26000,,1850,87,,196,,,,2.97,10.44,32.40,14.53,,,,1000,,2458,3402,,,,,
BE19,,Beechcraft,Model 19 Musketeer Sport,L1P,L,13000,,728,,102,127,,,,2.51,7.82,13.60,9.98,,,,676,,624,1021,,,,,
BE20,,Beechcraft,Model 200 King Air,L2T,L,35000,,,98,310,,,,,4.52,13.36,,17.65,,,,,1720,4005,,,,5670,,
BE23,,Beechcraft,Model 23 Musketeer,L1P,L,13000,,728,,102,127,,,,2.51,7.82,13.60,9.98,,,,676,,624,1089,,,,,
BE24,,Beechcraft,Model 24 Sierra,L1P,L,13000,,728,,102,127,,,,2.51,7.82,13.60,9.98,,,,676,,624,1157,,,,,
BE30,,Beechcraft,Model 300 King Air,L2T,L,35000,,,107,312,,,,,4.37,14.22,,17.65,,,,,2670,4516,,,,6804,,
BE33,,Beechcraft,Model 33 Debonair/Bonanza,L1P,L,18500,,1230,69,176,,,,,2.62,8.38,,10.21,,,,716,930,1142,1656,,,,,
BE35,,Beechcraft,Model 35 Bonanza,L1P,L,18500,,1230,72,176,,,,,2.62,8.38,,10.21,,,,716,930,1142,1656,,,,,
BE36,,Beechcraft,Model 36 Bonanza,L1P,L,18500,,1230,77,176,,,,,2.62,8.38,,10.21,,,,716,930,1142,1656,,,,,
BE40,,Beechcraft,Model 400 Beechjet,L2J,M,45000,,,100,447,468,,,,4.24,14.76,,13.36,,,,2160,,4763,,,,7394,,
BE4W,,Nextant Aerospace,400XT,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
