icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,rate_of_climb,approach_speed,cruise_speed,maximum_speed,never_exceed_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,ferry_range,oew,auw,mlw,mrw,mtow,mzfw,type_certificate
E737,,Boeing,E-7A Wedgetail,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
E75L,E7W,Embraer,E175 (Long wings),L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
E75S,E7W,Embraer,E175 (Short wings),L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
E767,,Boeing,E-767,L2J,H,,,,,,,,,,,,,,,,,,,,,,,,,
EC20,,Airbus Helicopters,H120 Colibri,H1T,L,,,,,,,,3.40,1.50,,,,,,,,,,,,,,1715,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar508
EC25,,Airbus Helicopters,H225,H2T,M,,,,,,,,4.97,3.96,,,,,,,,,,,,,,11000,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar002
EC30,,Airbus Helicopters,H130,H1T,L,,,,,,,,3.61,2.03,,,,,,,,,,,,,,2500,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar008
EC35,,Airbus Helicopters,H135,H2T,L,,,,,,,,3.35,1.56,,,,,,,,,,,,,,2980,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar009
EC45,,Airbus Helicopters,H145,H2T,L,,,,,,,,3.45,1.85,,,,,,,,,,,,,,3800,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar010
EC55,,Airbus Helicopters,H155,H2T,L,,,,,,,,4.35,3.48,,,,,,,,,,,,,,4920,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar105
EC75,,Airbus Helicopters,H175,H2T,L,,,,,,,,4.84,3.35,,,,,,,,,,,,,,7800,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar150
EFAN,,Airbus,E-Fan,L2E,L,,,,,,,,,,,,,,,,,,,,,,,,,
EH10,,AgustaWestland,AW101 Merlin,H3T,M,,,,,,,,,,,,,,,,,,,,,,,,,
ERCO,,ERCO,Ercoupe,L1P,L,,,,55,,,,,,,,,,,,,,,,,,,,,
