slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
sal-mm-lf-lfmy,SAL,MM 16,MM,TERMINAL,110900,,,,,,159.712,,,43.62314,5.10078,0,LF,LFMY,16,FR
sdi-mm-lf-lfsi,SDI,MM 29,MM,TERMINAL,108900,,,,,,293.095,,,48.62839,4.92667,0,LF,LFSI,29,FR
sf-mm-ek-ekvg,SF,MM 12,MM,TERMINAL,109100,,,,,,103.686,,,62.07572,-7.32226,0,EK,EKVG,12,FO
sgg-mm-es-esgg,SGG,MM 03,MM,TERMINAL,110300,,,,,,25.962,,,57.64064,12.25964,0,ES,ESGG,03,SE
sj-mm-es-esgj,SJ,MM 19,MM,TERMINAL,109900,,,,,,198.043,,,57.77592,14.07989,0,ES,ESGJ,19,SE
sl-mm-es-essl,SL,MM 29,MM,TERMINAL,108100,,,,,,292.224,,,58.39928,15.71392,0,ES,ESSL,29,SE
soe-mm-es-esoe,SOE,MM 01,MM,TERMINAL,109100,,,,,,11.663,,,59.19958,15.02822,0,ES,ESOE,01,SE
sok-mm-es-esok,SOK,MM 03,MM,TERMINAL,109350,,,,,,25.630,,,59.42603,13.31975,0,ES,ESOK,03,SE
svj-mm-ek-ekvj,SVJ,MM 27,MM,TERMINAL,110100,,,,,,272.485,,,55.98906,8.39100,0,EK,EKVJ,27,DK
sy-mm-es-esgr,SY,MM 19,MM,TERMINAL,108300,,,,,,195.688,,,58.47294,13.98153,295,ES,ESGR,19,SE
sza-mm-lf-lfks,SZA,MM 18,MM,TERMINAL,109100,,,,,,178.954,,,41.94422,9.40486,3,LF,LFKS,18,FR
tre-mm-li-liph,TRE,MM 07,MM,TERMINAL,109300,,,,,,69.220,,,45.64100,12.16686,56,LI,LIPH,07,IT
trh-mm-es-esgt,TRH,MM 33,MM,TERMINAL,111900,,,,,,326.133,,,58.30464,12.36164,0,ES,ESGT,33,SE
tt-mm-lz-lztt,TT,MM 27,MM,TERMINAL,110100,,,,,,274.141,,,49.07214,20.27253,0,LZ,LZTT,27,SK
tu-mm-sa-sant,TU,MM 02,MM,TERMINAL,109900,,,,,,9.722,,,-26.86269,-65.10911,0,SA,SANT,02,AR
vts-mm-li-lipz,VTS,MM 04R,MM,TERMINAL,109950,,,,,,42.038,,,45.48817,12.32994,0,LI,LIPZ,04R,IT
ybe-mm-ly-lybe,YBE,MM 30,MM,TERMINAL,109900,,,,,,302.028,,,44.80689,20.33514,0,LY,LYBE,30,RS
yub-mm-ly-lybe,YUB,MM 12,MM,TERMINAL,110300,,,,,,122.028,,,44.83181,20.27911,0,LY,LYBE,12,RS
yui-mm-ly-lypg,YUI,MM 36,MM,TERMINAL,109900,,,,,,4.303,,,42.33828,19.24981,0,LY,LYPG,36,ME
