slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
ttg-tacan-rc,TTG,Taitung TACAN,TACAN,ENROUTE,113800,85X,1109000,1172000,,-2.000,,,130,22.80361,121.18556,121,RC,,,TW
ttm-tacan-ep,TTM,Tomaszow Mazowiecki TACAN,TACAN,ENROUTE,110700,44X,1068000,1005000,,6.000,,,40,51.58761,20.09350,729,EP,,,PL
tur-tacan-lf,TUR,Tours Val De Loire TACAN,TACAN,ENROUTE,113800,85X,1109000,1172000,,0.000,,,130,47.42219,0.73089,387,LF,,,FR
tvl-tacan-yb,TVL,Townsville TACAN,TACAN,ENROUTE,113500,82X,1106000,1169000,,7.000,,,130,-19.27900,146.74253,40,YB,,,AU
tyn-tacan-rc,TYN,Taoyuan TACAN,TACAN,ENROUTE,115800,105X,1129000,1192000,,-3.000,,,130,25.06250,121.24467,147,RC,,,TW
tzt-tacan-rj,TZT,Takamatsu TACAN,TACAN,ENROUTE,117500,122X,1146000,1209000,,-7.000,,,130,34.32617,133.95384,1607,RJ,,,JP
uam-tacan-pg,UAM,Andersen (Yigo) TACAN,TACAN,ENROUTE,111700,54X,1078000,1015000,,2.000,,,130,13.59122,144.94658,616,PG,,,GU
uau-tacan-cy,UAU,Mckay (Thunder Bay) TACAN,TACAN,ENROUTE,112500,72X,1096000,1159000,,-5.000,,,130,48.37342,-89.32878,665,CY,,,CA
uaw-tacan-cy,UAW,Shearwater (Halifax) TACAN,TACAN,ENROUTE,110100,38X,1062000,999000,,-19.000,,,130,44.63315,-63.49996,175,CY,,,CA
ult-tacan-cy,ULT,Alert TACAN,TACAN,ENROUTE,110700,44X,1068000,1005000,,0.000,,,130,82.51731,-62.31153,72,CY,,,CA
uod-tacan-cy,UOD,Cold Lake TACAN,TACAN,ENROUTE,113500,82X,1106000,1169000,,13.000,,,130,54.40861,-110.29583,1806,CY,,,CA
uqq-tacan-cy,UQQ,Comox TACAN,TACAN,ENROUTE,110400,41X,1065000,1002000,,15.000,,,130,49.71250,-124.89444,80,CY,,,CA
utr-tacan-cy,UTR,Trenton TACAN,TACAN,ENROUTE,109700,34X,1058000,995000,,-12.000,,,130,44.12139,-77.52889,285,CY,,,CA
uyr-tacan-cy,UYR,Goose (Goose Bay) TACAN,TACAN,ENROUTE,110300,40X,1064000,1001000,,-21.000,,,130,53.31972,-60.41667,200,CY,,,CA
uzx-tacan-cy,UZX,Greenwood TACAN,TACAN,ENROUTE,117600,123X,1147000,1210000,,-17.000,,,125,44.98333,-64.91944,117,CY,,,CA
vad-tacan-k7,VAD,Moody (Valdosta) TACAN,TACAN,ENROUTE,113300,80X,1104000,1167000,,-3.000,,,130,30.96008,-83.19345,218,K7,,,US
vae-tacan-en,VAE,Vaernes TACAN,TACAN,ENROUTE,109600,33X,1057000,994000,,4.000,,,40,63.45520,10.90042,37,EN,,,NO
