slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
pbc-vor-dme-mm,PBC,Puebla VOR/DME,VOR-DME,ENROUTE,115200,99X,1123000,1186000,,4.000,,,125,19.16092,-98.37018,7378,MM,,,MX
pbf-vor-dme-k4,PBF,Pine Bluff VOR/DME,VOR-DME,ENROUTE,116000,107X,1131000,1194000,,4.000,,,40,34.24676,-91.92618,212,K4,,,US
pbl-vor-dme-sv,PBL,Puerto Cabello VOR/DME,VOR-DME,ENROUTE,117700,124X,1148000,1211000,,-11.000,,,150,10.48419,-68.07781,23,SV,,,VE
pbn-vor-dme-va,PBN,Porbandar VOR/DME,VOR-DME,ENROUTE,112400,71X,1095000,1158000,,0.000,,,40,21.65133,69.65570,48,VA,,,IN
pbo-vor-dme-ym,PBO,Paraburdoo VOR/DME,VOR-DME,ENROUTE,116900,116X,1140000,1203000,,1.000,,,130,-23.17261,117.73704,1416,YM,,,AU
pca-vor-dme-mm,PCA,Pachuca VOR/DME,VOR-DME,ENROUTE,112700,74X,1098000,1161000,,6.000,,,150,20.13184,-98.68439,9665,MM,,,MX
pca-vor-dme-vv,PCA,Phu Cat VOR/DME,VOR-DME,ENROUTE,116300,110X,1134000,1197000,,-1.000,,,125,13.95722,109.04267,110,VV,,,VN
pcb-vor-dme-vt,PCB,Phetchabun VOR/DME,VOR-DME,ENROUTE,115400,101X,1125000,1188000,,-1.000,,,125,16.67602,101.19670,449,VT,,,TH
pct-vor-dme-lh,PCT,Papa VOR/DME,VOR-DME,ENROUTE,114750,94Y,1118000,1055000,,4.000,,,130,47.36703,17.50131,498,LH,,,HU
pcu-vor-dme-k7,PCU,Picayune VOR/DME,VOR-DME,ENROUTE,114150,88Y,1112000,1049000,,5.000,,,40,30.56117,-89.73049,70,K7,,,US
pcx-vor-dme-sb,PCX,Porto (Rio De Janeiro TMA) VOR/DME,VOR-DME,ENROUTE,114600,93X,1117000,1180000,,-23.000,,,125,-22.71539,-42.85742,127,SB,,,BR
pd-vor-dme-ym,PD,Port Hedland VOR/DME,VOR-DME,ENROUTE,114100,88X,1112000,1175000,,1.000,,,130,-20.37847,118.62272,47,YM,,,AU
pda-vor-dme-sk,PDA,Puerto Inirida VOR/DME,VOR-DME,ENROUTE,114900,96X,1120000,1183000,,-11.100,,,130,3.85278,-67.90389,460,SK,,,CO
pdg-vor-dme-wi,PDG,Padang VOR/DME,VOR-DME,ENROUTE,116400,111X,1135000,1198000,,0.000,,,130,-0.87111,100.35329,9,WI,,,ID
pdh-vor-dme-sc,PDH,Pudahuel (Santiago) VOR/DME,VOR-DME,ENROUTE,117200,119X,1143000,1206000,,1.000,,,130,-33.41472,-70.80139,1552,SC,,,CL
pdi-vor-dme-sa,PDI,Punta Indio VOR/DME,VOR-DME,ENROUTE,114100,88X,1112000,1175000,,-3.000,,,130,-35.34528,-57.27556,56,SA,,,AR
pdk-vor-dme-k7,PDK,Peachtree (Atlanta) VOR/DME,VOR-DME,ENROUTE,116600,113X,1137000,1200000,,-5.000,,,40,33.87563,-84.29881,971,K7,,,US
pdl-vor-dme-zs,PDL,Liuzao VOR/DME,VOR-DME,ENROUTE,109400,31X,1055000,992000,,-6.000,,,40,31.13000,121.67167,13,ZS,,,CN
pdo-vor-dme-sp,PDO,Puerto Maldonado VOR/DME,VOR-DME,ENROUTE,116100,108X,1132000,1195000,,-5.000,,,125,-12.60833,-69.22722,850,SP,,,PE
pdt-vor-dme-le,PDT,Perales VOR/DME,VOR-DME,ENROUTE,116950,116Y,1140000,1077000,,-1.000,,,40,40.25292,-3.34803,2559,LE,,,ES
pdv-vor-dme-lb,PDV,Plovdiv VOR/DME,VOR-DME,ENROUTE,114900,96X,1120000,1183000,,5.000,,,130,42.05342,24.87631,600,LB,,,BG
pe-vor-dme-gq,PE,Nouadhibou VOR/DME,VOR-DME,ENROUTE,113500,82X,1106000,1169000,,-6.000,,,130,20.91444,-17.03497,26,GQ,,,MR
pei-vor-dme-sk,PEI,Pereira VOR/DME,VOR-DME,ENROUTE,116000,107X,1131000,1194000,,-7.000,,,130,4.78167,-75.83611,3854,SK,,,CO
pek-vor-dme-zb,PEK,Guanzhuang VOR/DME,VOR-DME,ENROUTE,114700,94X,1118000,1181000,,-6.000,,,40,40.04833,116.73500,203,ZB,,,CN
peq-vor-dme-k4,PEQ,Pecos (Pecos City) VOR/DME,VOR-DME,ENROUTE,111800,55X,1079000,1016000,,11.000,,,40,31.46931,-103.57476,2620,K4,,,US
per-vor-dme-us,PER,Perm VOR/DME,VOR-DME,ENROUTE,108200,19X,1043000,980000,,16.000,,,130,57.92069,56.02836,400,US,,,RU
pes-vor-dme-li,PES,Pescara VOR/DME,VOR-DME,ENROUTE,115900,106X,1130000,1193000,,2.000,,,130,42.43583,14.18417,56,LI,,,IT
pev-vor-dme-fa,PEV,Port Elizabeth VOR/DME,VOR-DME,ENROUTE,112900,76X,1100000,1163000,,-28.000,,,130,-33.99250,25.60576,215,FA,,,ZA
pg-vor-dme-op,PG,Panjgur VOR/DME,VOR-DME,ENROUTE,114300,90X,1114000,1177000,,1.000,,,130,26.95284,64.13696,3314,OP,,,PK
pga-vor-dme-k2,PGA,Page VOR/DME,VOR-DME,ENROUTE,117600,123X,1147000,1210000,,13.000,,,40,36.93104,-111.44744,4250,K2,,,US
pgs-vor-dme-k2,PGS,Peach Springs VOR/DME,VOR-DME,ENROUTE,112000,57X,1081000,1018000,,15.000,,,130,35.62471,-113.54447,4760,K2,,,US
pgs-vor-dme-lf,PGS,Charles-De-Gaulle (Paris) VOR/DME,VOR-DME,ENROUTE,117050,117Y,1141000,1078000,,1.000,,,25,48.99947,2.62381,348,LF,,,FR
ph-vor-dme-ym,PH,Perth VOR/DME,VOR-DME,ENROUTE,113700,84X,1108000,1171000,,-2.000,,,130,-31.94500,115.95917,83,YM,,,AU
pha-vor-dme-lc,PHA,Pafos VOR/DME,VOR-DME,ENROUTE,117900,126X,1150000,1213000,,4.000,,,130,34.71178,32.50583,100,LC,,,CY
phk-vor-dme-k7,PHK,Pahokee VOR/DME,VOR-DME,ENROUTE,115400,101X,1125000,1188000,,0.000,,,130,26.78274,-80.69143,16,K7,,,US
php-vor-dme-k3,PHP,Philip VOR/DME,VOR-DME,ENROUTE,108400,21X,1045000,982000,,12.000,,,40,44.05824,-101.66419,2340,K3,,,US
pie-vor-dme-sk,PIE,Piedecuesta VOR/DME,VOR-DME,ENROUTE,116800,115X,1139000,1202000,,-9.000,,,130,6.88389,-73.09194,5364,SK,,,CO
pih-vor-dme-k1,PIH,Pocatello VOR/DME,VOR-DME,ENROUTE,112600,73X,1097000,1160000,,17.000,,,130,42.87038,-112.65223,4433,K1,,,US
pim-vor-dme-oi,PIM,Payam VOR/DME,VOR-DME,ENROUTE,117500,122X,1146000,1209000,,4.000,,,40,35.76203,50.85156,4125,OI,,,IR
pio-vor-dme-k2,PIO,Pinon VOR/DME,VOR-DME,ENROUTE,110400,41X,1065000,1002000,,12.000,,,40,32.52920,-105.30524,6578,K2,,,US
pir-vor-dme-ef,PIR,Pirkka (Tampere) VOR/DME,VOR-DME,ENROUTE,116200,109X,1133000,1196000,,9.000,,,130,61.40991,23.57766,450,EF,,,FI
pir-vor-dme-sb,PIR,Pirassununga VOR/DME,VOR-DME,ENROUTE,115800,105X,1129000,1192000,,-21.000,,,150,-21.98456,-47.34450,1968,SB,,,BR
pis-vor-dme-li,PIS,Pisa VOR/DME,VOR-DME,ENROUTE,112100,58X,1082000,1019000,,2.000,,,130,43.67658,10.39156,33,LI,,,IT
pjb-vor-dme-tn,PJB,Bonaire VOR/DME,VOR-DME,ENROUTE,115000,97X,1121000,1184000,,-10.900,,,130,12.13167,-68.24944,20,TN,,,BQ
