slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
mmt-vortac-k7,MMT,Mc Entire (Columbia) VORTAC,VORTAC,ENROUTE,113200,79X,1103000,1166000,,-8.000,,,40,33.92409,-80.80234,248,K7,,,US
mqo-vortac-k2,MQO,Morro Bay (San Luis Obispo) VORTAC,VORTAC,ENROUTE,112400,71X,1095000,1158000,,16.000,,,40,35.25226,-120.75957,1463,K2,,,US
mqp-vortac-k4,MQP,Millsap (Mineral Wells) VORTAC,VORTAC,ENROUTE,117700,124X,1148000,1211000,,9.000,,,130,32.72618,-97.99744,900,K4,,,US
mrb-vortac-k6,MRB,Martinsburg VORTAC,VORTAC,ENROUTE,112100,58X,1082000,1019000,,-7.000,,,40,39.38557,-77.84836,600,K6,,,US
mrh-vortac-oo,MRH,Masirah VORTAC,VORTAC,ENROUTE,113800,85X,1109000,1172000,,0.000,,,40,20.67433,58.89617,80,OO,,,OM
msl-vortac-k7,MSL,Muscle Shoals VORTAC,VORTAC,ENROUTE,116500,112X,1136000,1199000,,1.000,,,40,34.70687,-87.49152,583,K7,,,US
msn-vortac-k5,MSN,Madison VORTAC,VORTAC,ENROUTE,108600,23X,1047000,984000,,3.000,,,40,43.14484,-89.33970,857,K5,,,US
mss-vortac-k6,MSS,Massena VORTAC,VORTAC,ENROUTE,114100,88X,1112000,1175000,,-14.000,,,130,44.91442,-74.72272,198,K6,,,US
mva-vortac-k2,MVA,Mina VORTAC,VORTAC,ENROUTE,115100,98X,1122000,1185000,,17.000,,,130,38.56530,-118.03285,7860,K2,,,US
mvc-vortac-k7,MVC,Monroeville VORTAC,VORTAC,ENROUTE,116800,115X,1139000,1202000,,4.000,,,40,31.45932,-87.35254,420,K7,,,US
mxe-vortac-k6,MXE,Modena VORTAC,VORTAC,ENROUTE,113200,79X,1103000,1166000,,-9.000,,,40,39.91805,-75.67082,473,K6,,,US
mzb-vortac-k2,MZB,Mission Bay (San Diego) VORTAC,VORTAC,ENROUTE,117800,125X,1149000,1212000,,15.000,,,130,32.78221,-117.22543,10,K2,,,US
nej-vortac-oe,NEJ,Nejran VORTAC,VORTAC,ENROUTE,116700,114X,1138000,1201000,,2.000,,,130,17.60686,44.41558,4000,OE,,,SA
