slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
igut-im-k6-kpit,IGUT,IM 10R,IM,TERMINAL,108900,,,,,,91.988,,,40.48682,-80.25524,1145,K6,KPIT,10R,US
igwq-im-k2-ksfo,IGWQ,IM 28R,IM,TERMINAL,111700,,,,,,297.913,,,37.61282,-122.35548,13,K2,KSFO,28R,US
ihfw-im-k7-katl,IHFW,IM 08L,IM,TERMINAL,109300,,,,,,89.989,,,33.64953,-84.44181,1018,K7,KATL,08L,US
ihih-im-k7-kgso,IHIH,IM 23L,IM,TERMINAL,109300,,,,,,225.878,,,36.11185,-79.91813,882,K7,KGSO,23L,US
ihjt-im-k5-kdtw,IHJT,IM 04L,IM,TERMINAL,111950,,,,,,28.604,,,42.20011,-83.38552,646,K5,KDTW,04L,US
ihkz-im-k3-kmsp,IHKZ,IM 12R,IM,TERMINAL,110300,,,,,,121.443,,,44.88913,-93.23686,840,K3,KMSP,12R,US
ihsv-im-k7-khsv,IHSV,IM 18R,IM,TERMINAL,109300,,,,,,180.942,,,34.65515,-86.78205,624,K7,KHSV,18R,US
ihub-im-k4-khou,IHUB,IM 04,IM,TERMINAL,109900,,,,,,43.818,,,29.63747,-95.28713,44,K4,KHOU,04,US
ihuu-im-k5-kdtw,IHUU,IM 03R,IM,TERMINAL,111500,,,,,,28.628,,,42.19349,-83.35337,631,K5,KDTW,03R,US
ihvd-im-k5-kfwa,IHVD,IM 05,IM,TERMINAL,111900,,,,,,44.166,,,40.96100,-85.21486,808,K5,KFWA,05,US
iiac-im-k5-kord,IIAC,IM 27L,IM,TERMINAL,110500,,,,,,270.002,,,41.98385,-87.88589,642,K5,KORD,27L,US
iiln-im-k5-kiln,IILN,IM 22R,IM,TERMINAL,110700,,,,,,217.205,,,39.44474,-83.78433,1074,K5,KILN,22R,US
iind-im-k5-kind,IIND,IM 05L,IM,TERMINAL,111750,,,,,,44.443,,,39.70436,-86.32346,736,K5,KIND,05L,US
iisu-im-k6-kiad,IISU,IM 19R,IM,TERMINAL,110750,,,,,,180.643,,,38.97320,-77.47441,276,K6,KIAD,19R,US
iiwy-im-k6-kjfk,IIWY,IM 22L,IM,TERMINAL,110900,,,,,,210.677,,,40.64754,-73.75307,12,K6,KJFK,22L,US
