slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
ait-ndb-k3,AIT,Aitkin NDB,NDB,ENROUTE,397,,,,,,,,25,46.54830,-93.67544,0,K3,,,US
aix-ndb-pa,AIX,Nanwak (Mekoryuk) NDB,NDB,ENROUTE,323,,,,,,,,25,60.38528,-166.21438,0,PA,,,US
aj-ndb-oi,AJ,Aghajari NDB,NDB,ENROUTE,365,,,,,,,,50,30.74125,49.68408,0,OI,,,IR
aj-ndb-un,AJ,Krasnoyarsk NDB,NDB,ENROUTE,685,,,,,,,,25,56.18347,92.44894,0,UN,,,RU
aj-ndb-uu,AJ,Staritsa NDB,NDB,ENROUTE,430,,,,,,,,50,56.51750,34.93639,0,UU,,,RU
aja-ndb-pg,AJA,Mount Macajna (Guam) NDB,NDB,ENROUTE,385,,,,,,,,50,13.45353,144.73693,0,PG,,,GU
ak-ndb-dn,AK,Akure NDB,NDB,ENROUTE,276,,,,,,,,25,7.22711,5.29218,0,DN,,,NG
ak-ndb-k5-kakr,AK,Akron NDB,NDB,TERMINAL,362,,,,,,,,25,41.06973,-81.38737,0,K5,KAKR,,US
ak-ndb-k5,AK,Akron NDB,NDB,ENROUTE,362,,,,,,,,25,41.06973,-81.38737,0,K5,,,US
ak-ndb-rj,AK,Akeno NDB,NDB,ENROUTE,380,,,,,,,,50,34.52778,136.69667,0,RJ,,,JP
aki-ndb-wb,AKI,Anduki NDB,NDB,ENROUTE,250,,,,,,,,50,4.63025,114.37172,0,WB,,,BN
akp-ndb-pa,AKP,Anaktuvuk Pass NDB,NDB,ENROUTE,348,,,,,,,,75,68.13662,-151.74423,0,PA,,,US
akq-ndb-k6,AKQ,Wakefield NDB,NDB,ENROUTE,274,,,,,,,,25,36.98282,-77.00097,0,K6,,,US
aku-ndb-ef,AKU,Akujarvi (Ivalo) NDB,NDB,ENROUTE,432,,,,,,,,25,68.67839,27.61463,0,EF,,,FI
akw-ndb-pa,AKW,Klawock NDB,NDB,ENROUTE,229,,,,,,,,50,55.56862,-133.08140,0,PA,,,US
al-ndb-dg,AL,Accra NDB,NDB,ENROUTE,258,,,,,,,,25,5.56918,-0.18178,0,DG,,,GH
al-ndb-k1-kalw,AL,Trina (Walla Walla) NDB,NDB,TERMINAL,353,,,,,,,,25,46.17557,-118.19636,0,K1,KALW,,US
al-ndb-k6,AL,Hawky (Albany) NDB,NDB,ENROUTE,219,,,,,,,,25,42.81731,-73.80850,0,K6,,,US
al-ndb-le-lesa,AL,Matacan (Salamanca) NDB,NDB,TERMINAL,359,,,,,,,,15,41.03086,-5.44694,0,LE,LESA,,ES
al-ndb-un,AL,Baykit NDB,NDB,ENROUTE,470,,,,,,,,50,61.70083,96.47583,0,UN,,,RU
al-ndb-uu-uubi,AL,Yuzhny (Ivanovo) NDB,NDB,TERMINAL,326,,,,,,,,15,56.96764,40.85597,0,UU,UUBI,,RU
al-ndb-uu,AL,Algasovo NDB,NDB,ENROUTE,694,,,,,,,,50,53.68028,41.67972,0,UU,,,RU
al-ndb-wi,AL,Halim Perdanakusuma (Jakarta) NDB,NDB,ENROUTE,215,,,,,,,,50,-6.19396,107.04002,0,WI,,,ID
al-ndb-zj,AL,Sanya NDB,NDB,ENROUTE,205,,,,,,,,15,18.31550,109.50659,0,ZJ,,,CN
ala-ndb-en,ALA,Alta NDB,NDB,ENROUTE,358,,,,,,,,50,69.99229,23.29316,0,EN,,,NO
alb-ndb-le,ALB,Alboran NDB,NDB,ENROUTE,519,,,,,,,,50,35.93806,-3.03528,0,LE,,,ES
alc-ndb-sb,ALC,Alcantara NDB,NDB,ENROUTE,230,,,,,,,,50,-2.38150,-44.39933,0,SB,,,BR
ald-ndb-eg,ALD,Alderney NDB,NDB,ENROUTE,383,,,,,,,,25,49.70887,-2.19977,0,EG,,,GG
ale-ndb-os,ALE,Aleppo NDB,NDB,ENROUTE,396,,,,,,,,25,36.18600,37.22330,0,OS,,,SY
alg-ndb-ed,ALG,Allgaeu (Memmingen) NDB,NDB,ENROUTE,341,,,,,,,,50,47.99738,10.26219,0,ED,,,DE
alg-ndb-sg-sges,ALG,Ciudad Del Este NDB,NDB,TERMINAL,293,,,,,,,,50,-25.36806,-54.76167,0,SG,SGES,,PY
ali-ndb-he,ALI,Cairo NDB,NDB,ENROUTE,310,,,,,,,,25,30.16694,31.38500,0,HE,,,EG
ali-ndb-or,ALI,Al-Ashraf (Al Najaf) NDB,NDB,ENROUTE,275,,,,,,,,25,31.99375,44.39983,0,OR,,,IQ
alj-ndb-pa,ALJ,Orca Bay (Hinchinbrook) NDB,NDB,ENROUTE,233,,,,,,,,50,60.47982,-146.58743,0,PA,,,US
alm-ndb-lf,ALM,Aix Les Milles NDB,NDB,ENROUTE,413,,,,,,,,15,43.50778,5.36686,0,LF,,,FR
alp-ndb-k6,ALP,Alpine (Elmira) NDB,NDB,ENROUTE,245,,,,,,,,25,42.23870,-76.76405,0,K6,,,US
alp-ndb-lg,ALP,Alexandroupolis NDB,NDB,ENROUTE,351,,,,,,,,15,40.85583,25.94087,0,LG,,,GR
als-ndb-gm,ALS,Al-Massira (Agadir) NDB,NDB,ENROUTE,396,,,,,,,,25,30.32036,-9.31953,0,GM,,,MA
alu-ndb-gm,ALU,Al Hoceima NDB,NDB,ENROUTE,401,,,,,,,,50,35.18117,-3.84456,0,GM,,,MA
am-ndb-ha-haam,AM,Arba Minch NDB,NDB,TERMINAL,275,,,,,,,,50,6.05769,37.60235,0,HA,HAAM,,ET
am-ndb-k4,AM,Pande (Amarillo) NDB,NDB,ENROUTE,251,,,,,,,,50,35.14646,-101.80555,0,K4,,,US
am-ndb-le,AM,Almeria NDB,NDB,ENROUTE,284,,,,,,,,15,36.87583,-2.23992,0,LE,,,ES
am-ndb-us-usrr,AM,Surgut NDB,NDB,TERMINAL,325,,,,,,,,15,61.34417,73.50486,0,US,USRR,,RU
am-ndb-uw-uwkd,AM,Kazan NDB,NDB,TERMINAL,475,,,,,,,,25,55.62281,49.23606,0,UW,UWKD,,RU
am-ndb-vv,AM,Gialam (Hanoi) NDB,NDB,ENROUTE,294,,,,,,,,50,20.98876,105.86139,0,VV,,,VN
amb-ndb-lf,AMB,Amboise NDB,NDB,ENROUTE,341,,,,,,,,50,47.41817,1.04100,0,LF,,,FR
amb-ndb-se,AMB,Ambato NDB,NDB,ENROUTE,360,,,,,,,,50,-1.21333,-78.57667,0,SE,,,EC
amf-ndb-pa,AMF,Ambler NDB,NDB,ENROUTE,403,,,,,,,,50,67.10524,-157.86015,0,PA,,,US
aml-ndb-gm,AML,Al-Massira (Agadir) NDB,NDB,ENROUTE,402,,,,,,,,25,30.32361,-9.45464,0,GM,,,MA
aml-ndb-lg,AML,Amalias NDB,NDB,ENROUTE,367,,,,,,,,75,37.77583,21.34722,0,LG,,,GR
amn-ndb-le,AMN,Almeria NDB,NDB,ENROUTE,310,,,,,,,,50,36.84836,-2.37819,0,LE,,,ES
amp-ndb-sb,AMP,Amapa NDB,NDB,ENROUTE,275,,,,,,,,50,2.06883,-50.86050,0,SB,,,BR
amt-ndb-k5,AMT,West Union NDB,NDB,ENROUTE,359,,,,,,,,25,38.85541,-83.56378,0,K5,,,US
an-ndb-es-esnx,AN,Arvidsjaur NDB,NDB,TERMINAL,381,,,,,,,,25,65.63392,19.14303,0,ES,ESNX,,SE
an-ndb-k4-ksat,AN,Alamo (San Antonio) NDB,NDB,TERMINAL,368,,,,,,,,25,29.60766,-98.56974,0,K4,KSAT,,US
an-ndb-k7,AN,Bogga (Anniston) NDB,NDB,ENROUTE,211,,,,,,,,25,33.53434,-85.93127,0,K7,,,US
an-ndb-lt-ltac,AN,Esenboga (Ankara) NDB,NDB,TERMINAL,285,,,,,,,,25,40.06100,32.93267,0,LT,LTAC,,TR
an-ndb-nt,AN,Atuona NDB,NDB,ENROUTE,294,,,,,,,,75,-9.75242,-139.00122,0,NT,,,PF
an-ndb-oy-oysn,AN,Sanaa Intl NDB,NDB,TERMINAL,228,,,,,,,,25,15.55622,44.22014,0,OY,OYSN,,YE
an-ndb-ur,AN,Anapa NDB,NDB,ENROUTE,480,,,,,,,,25,44.96789,37.30372,0,UR,,,RU
an-ndb-ut,AN,Andizhan NDB,NDB,ENROUTE,422,,,,,,,,25,40.69347,72.24744,0,UT,,,UZ
an-ndb-uu,AN,Belgorod NDB,NDB,ENROUTE,718,,,,,,,,15,50.66522,36.52472,0,UU,,,RU
an-ndb-vc,AN,Anuradhapura NDB,NDB,ENROUTE,415,,,,,,,,50,8.30983,80.43783,0,VC,,,LK
an-ndb-vy,AN,Ann NDB,NDB,ENROUTE,385,,,,,,,,75,19.77990,94.02815,0,VY,,,MM
ana-ndb-sl,ANA,Santa Ana NDB,NDB,ENROUTE,345,,,,,,,,50,-13.76289,-65.43203,0,SL,,,BO
and-ndb-ud,AND,Andranik NDB,NDB,ENROUTE,1220,,,,,,,,50,39.83027,44.99249,0,UD,,,AM
ani-ndb-pa,ANI,Aniak NDB,NDB,ENROUTE,359,,,,,,,,50,61.59016,-159.59789,0,PA,,,US
ank-ndb-lt,ANK,Ankara NDB,NDB,ENROUTE,356,,,,,,,,50,39.95328,32.82833,0,LT,,,TR
ans-ndb-ed,ANS,Ansbach NDB,NDB,ENROUTE,452,,,,,,,,25,49.30890,10.63157,0,ED,,,DE
anv-ndb-pa,ANV,Anvik NDB,NDB,ENROUTE,365,,,,,,,,50,62.64146,-160.18533,0,PA,,,US
ao-ndb-dn,AO,Kano NDB,NDB,ENROUTE,340,,,,,,,,50,12.05867,8.54175,0,DN,,,NG
ao-ndb-lh-lhsn,AO,Szolnok NDB,NDB,TERMINAL,282,,,,,,,,15,47.08100,20.21181,0,LH,LHSN,,HU
ao-ndb-uu,AO,Aksinyino NDB,NDB,ENROUTE,732,,,,,,,,75,55.15278,38.28861,0,UU,,,RU
ap-ndb-cy,AP,Active Pass NDB,NDB,ENROUTE,378,,,,,,,,25,48.87387,-123.29000,0,CY,,,CA
ap-ndb-k5-kapn,AP,Felps (Alpena) NDB,NDB,TERMINAL,206,,,,,,,,25,44.96077,-83.56009,0,K5,KAPN,,US
ap-ndb-nz,AP,Taupo NDB,NDB,ENROUTE,230,,,,,,,,50,-38.74321,176.07429,0,NZ,,,NZ
ap-ndb-rc,AP,Anbu NDB,NDB,ENROUTE,250,,,,,,,,50,25.17569,121.52236,0,RC,,,TW
ap-ndb-sk,AP,Apiay NDB,NDB,ENROUTE,270,,,,,,,,50,4.07212,-73.47883,0,SK,,,CO
ap-ndb-un-uooo,AP,Alykel (Norilsk) NDB,NDB,TERMINAL,535,,,,,,,,25,69.26817,87.25564,0,UN,UOOO,,RU
ap-ndb-ur,AP,Anapa NDB,NDB,ENROUTE,480,,,,,,,,25,45.03511,37.38997,0,UR,,,RU
ap-ndb-ut-utaa,AP,Ashgabat NDB,NDB,TERMINAL,407,,,,,,,,25,37.96861,58.38425,0,UT,UTAA,,TM
ap-ndb-uu,AP,Voronezh NDB,NDB,ENROUTE,289,,,,,,,,25,51.77692,39.30139,0,UU,,,RU
ap-ndb-ve,AP,Prayagraj NDB,NDB,ENROUTE,328,,,,,,,,50,25.46306,81.69944,0,VE,,,IN
ap-ndb-vl,AP,Attopeu NDB,NDB,ENROUTE,212,,,,,,,,50,14.80000,106.81667,0,VL,,,LA
ap-ndb-wm,AP,Kluang NDB,NDB,ENROUTE,331,,,,,,,,50,2.04306,103.30694,0,WM,,,MY
apc-ndb-sb,APC,Apucarana NDB,NDB,ENROUTE,215,,,,,,,,50,-23.61462,-51.42415,0,SB,,,BR
aq-ndb-k5-katw,AQ,Kooky (Appleton) NDB,NDB,TERMINAL,407,,,,,,,,15,44.21589,-88.39899,0,K5,KATW,,US
