slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
tcl-dme-zm,TCL,Tosontsengel DME,DME,ENROUTE,116100,108X,1132000,1195000,,,,,40,48.74028,98.27389,5709,ZM,,,MN
tdg-dme-k7,TDG,Talladega DME,DME,ENROUTE,108800,25X,1049000,986000,,,,,40,33.57515,-86.04269,531,K7,,,US
tdt-dme-k6,TDT,Tidioute DME,DME,ENROUTE,117600,123X,1147000,1210000,,,,,40,41.71303,-79.41727,1710,K6,,,US
tfo-dme-sb,TFO,Teofilo Otoni DME,DME,ENROUTE,112900,76X,1100000,1163000,,,,,150,-17.89330,-41.51400,1470,SB,,,BR
tg-dme-nz,TG,Tauranga DME,DME,ENROUTE,113200,79X,1103000,1166000,,,,,125,-37.67757,176.19122,13,NZ,,,NZ
tgl-dme-zm,TGL,Kharkhorin DME,DME,ENROUTE,115400,101X,1125000,1188000,,,,,40,47.24528,102.82889,4823,ZM,,,MN
tkk-dme-pt,TKK,Truk (Weeno Island) DME,DME,ENROUTE,116400,111X,1135000,1198000,,,,,125,7.45711,151.84053,6,PT,,,FM
tld-dme-rj,TLD,Ami DME,DME,ENROUTE,116000,107X,1131000,1194000,,,,,130,36.02099,140.20576,136,RJ,,,JP
tnc-dme-pa,TNC,Tin City DME,DME,ENROUTE,117250,119Y,1143000,1080000,,,,,130,65.56173,-167.92480,248,PA,,,US
tof-dme-en,TOF,Torfjell DME,DME,ENROUTE,115600,103X,1127000,1190000,,,,,40,78.64785,15.97283,2522,EN,,,SJ
tog-dme-pa,TOG,Togiak DME,DME,ENROUTE,116700,114X,1138000,1201000,,,,,125,59.06357,-160.37492,21,PA,,,US
tpl-dme-k4,TPL,Temple DME,DME,ENROUTE,110400,41X,1065000,1002000,,,,,40,31.20934,-97.42497,710,K4,,,US
tqa-dme-sb,TQA,Taquara DME,DME,ENROUTE,112900,76X,1100000,1163000,,,,,150,-29.66947,-50.78094,76,SB,,,BR
tqi-dme-sb,TQI,Taquari DME,DME,ENROUTE,114500,92X,1116000,1179000,,,,,150,-29.78998,-51.83078,195,SB,,,BR
tr-dme-nz,TR,Tory DME,DME,ENROUTE,114600,93X,1117000,1180000,,,,,125,-41.18584,174.36238,1835,NZ,,,NZ
tra-dme-ls,TRA,Trasadingen DME,DME,ENROUTE,114300,90X,1114000,1177000,,,,,130,47.68950,8.43697,1850,LS,,,CH
trl-dme-en,TRL,Troll DME,DME,ENROUTE,116100,108X,1132000,1195000,,,,,40,60.64520,3.72387,309,EN,,,NO
trm-dme-sb,TRM,Tres Marias DME,DME,ENROUTE,114700,94X,1118000,1181000,,,,,130,-18.20324,-45.45707,3051,SB,,,BR
tsn-dme-ug,TSN,Tsnori DME,DME,ENROUTE,108600,23X,1047000,984000,,,,,130,41.62944,46.01556,800,UG,,,GE
tu-dme-nz,TU,Timaru DME,DME,ENROUTE,115900,106X,1130000,1193000,,,,,125,-44.30835,171.22510,89,NZ,,,NZ
tug-dme-rp,TUG,Tuguegarao DME,DME,ENROUTE,112100,58X,1082000,1019000,,,,,130,17.63331,121.73645,75,RP,,,PH
tui-dme-sb,TUI,Tucurui DME,DME,ENROUTE,112900,76X,1100000,1163000,,,,,130,-3.80134,-49.72132,200,SB,,,BR
tze-dme-ep,TZE,Trzebielino DME,DME,ENROUTE,113800,85X,1109000,1172000,,,,,130,54.21056,17.07333,492,EP,,,PL
uim-dme-k4,UIM,Quitman DME,DME,ENROUTE,114000,87X,1111000,1174000,,,,,40,32.88048,-95.36689,517,K4,,,US
ukn-dme-k3,UKN,Waukon DME,DME,ENROUTE,116600,113X,1137000,1200000,,,,,40,43.28009,-91.53736,1288,K3,,,US
uks-dme-pt,UKS,Kosrae DME,DME,ENROUTE,115300,100X,1124000,1187000,,,,,125,5.35319,162.95675,13,PT,,,FM
ul-dme-eg,UL,Ula DME,DME,ENROUTE,116450,111Y,1135000,1072000,,,,,130,57.11125,2.84737,203,EG,,,NO
ul-dme-fa,UL,Ulundi DME,DME,ENROUTE,115400,101X,1125000,1188000,,,,,40,-28.31506,31.42056,1712,FA,,,ZA
und-dme-zm,UND,Undurkhaan DME,DME,ENROUTE,115500,102X,1126000,1189000,,,,,40,47.33000,110.66389,3445,ZM,,,MN
urh-dme-k4,URH,Texoma (Durant) DME,DME,ENROUTE,114300,90X,1114000,1177000,,,,,40,33.94418,-96.39184,682,K4,,,US
uzh-dme-uk,UZH,Uzhhorod DME,DME,ENROUTE,115650,103Y,1127000,1064000,,,,,130,48.63272,22.26064,413,UK,,,UA
v6-dme-cy,V6,Salmon Arm DME,DME,ENROUTE,109000,27X,1051000,988000,,,,,125,50.68556,-119.23444,1760,CY,,,CA
vam-dme-ek,VAM,Vamdrup DME,DME,ENROUTE,110050,37Y,1061000,1124000,,,,,130,55.43806,9.33500,175,EK,,,DK
