icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
a58054,N4535M,Piper,PA-11 Cub Special,PA11,11-39,L1P,,,2022-06-30,1947-01-01
a5805a,N4535T,Piper,PA-28-180 Cherokee,P28A,28-7105222,L1P,,,2024-06-30,1971-01-01
a58074,N4536J,Piper,PA-28R-180 Arrow,P28R,28R-30395,L1P,,,2022-10-31,1968-01-01
a58077,N4536M,Piper,PA-11 Cub Special,PA11,11-40,L1P,,,2023-07-31,1947-01-01
a5807b,N4536R,Piper,PA-28-140 Cherokee,P28A,28-21240,L1P,,,2022-09-30,1965-01-01
a58094,N4537F,Piper,PA-32R-300 Lance,P32R,32R-7680458,L1P,,,2023-08-31,1976-01-01
a580a0,N4537T,Piper,PA-28-180 Cherokee,P28A,28-7105229,L1P,,,2023-01-31,1971-01-01
a580b2,N4538A,Piper,PA-22-150 Tri-Pacer,PA22,22-3847,L1P,,,2023-04-30,1956-01-01
a580bd,N4538M,Piper,PA-11 Cub Special,PA11,11-42,L1P,,,2023-09-30,1947-01-01
a580c0,N4538Q,Piper,PA-28-181 Archer II,P28A,28-7790476,L1P,,,2022-03-31,1977-01-01
a580c3,N4538T,Piper,PA-28-180 Cherokee,P28A,28-7205190,L1P,,,2024-01-31,1972-01-01
a580c7,N4538X,Piper,PA-28-140 Cherokee,P28A,28-7625051,L1P,,,2023-01-31,1975-01-01
a580c8,N4538Y,Piper,PA-25-235 Pawnee B,PA25,25-4184,L1P,,,2023-04-30,1967-01-01
a580d5,N4539A,Piper,PA-22-150 Tri-Pacer,PA22,22-3848,L1P,,,2023-03-31,1956-01-01
a580e0,N4539M,Piper,PA-11 Cub Special,PA11,11-43,L1P,,,2024-07-31,1947-01-01
a580fa,N454AB,Piper,PA-25-260 Pawnee C,PA25,25-7556048,L1P,,,2023-05-31,1974-01-01
a5812b,N454CA,Piper,PA-31T1-500 Cheyenne I,PAY1,31T-8104053,L2T,,,2023-06-30,1982-01-01
a581da,N454KA,Piper,PA-28-181 Archer II,P28A,28-7790454,L1P,,,2023-02-28,
a5820f,N454MD,Piper,PA-28-180 Cherokee,P28A,28-3125,L1P,,,2022-03-31,1966-01-01
a58256,N454Q,Piper,PA-18A-95 Super Cub,PA18,18-4902,L1P,,,2021-10-31,1956-01-01
a582ec,N454W,Piper,PA-18-150 Super Cub,PA18,18-7909110,L1P,,,2024-01-31,1979-01-01
a58305,N454X,Piper,PA-28-181 Archer II,P28A,28-7890318,L1P,,,2023-05-31,1978-01-01
a58351,N4540A,Piper,PA-22-150 Tri-Pacer,PA22,22-3849,L1P,,,2023-07-31,
a58359,N4540J,Piper,PA-28R-180 Arrow,P28R,28R-30399,L1P,,,2024-04-30,1968-01-01
a5835c,N4540M,Piper,PA-11 Cub Special,PA11,11-44,L1P,,,2022-05-31,1947-01-01
